Date,K1,K13,K14,K18,K19,K27,K31,K32,K35,K36,K38,K39,K40,K41,K43,K44,K45,K47,K48,K49,K50,K51,K53,K54,K55,K56,K58,K7,K9
2014-01,1819.727539,1820.510132,1895.150879,1509.108154,1522.921875,1469.814819,1469.574219,1471.12561,1472.47998,1472.761597,1506.379028,1510.616943,1636.411133,1637.224609,1561.198486,1557.151978,1485.692017,1478.838135,1481.425537,1482.35437,1481.291504,1474.28833,1480.013306,1884.944214,1875.268188,1873.971313,1854.750244,1510.20874,1901.124512
2014-03,1817.161865,1817.898315,1894.22229,1508.796631,1522.490845,1469.033447,1468.52002,1468.923218,1472.168091,1472.154053,1505.997803,1510.103882,1635.843018,1636.602905,1560.323853,1556.225586,1484.132324,1478.279907,1479.728271,1480.743286,1480.674072,1473.677612,1479.466187,1884.359619,1874.048584,1873.511108,1854.322632,1509.616577,1899.598022
2014-05,1818.112549,1819.009033,1892.404663,1507.909912,1521.425415,1468.852783,1467.474854,1469.564575,1471.283447,1471.077026,1505.308594,1509.722534,1634.859131,1632.574585,1559.728882,1555.531982,1483.182129,1477.022339,1479.46228,1479.229004,1477.994385,1473.140137,1477.215698,1882.202026,1872.919067,1871.620728,1853.711304,1509.287476,1898.766602
2014-06,1816.19397,1817.092651,1890.903198,1507.591919,1520.330322,1468.049805,1466.994629,1467.799316,1470.968384,1469.677124,1503.927002,1509.603149,1633.789185,1635.082153,1557.462158,1553.194946,1480.995483,1475.40686,1477.978882,1478.72229,1478.67334,1471.705444,1476.282959,1881.100464,1871.724121,1870.468018,1851.414551,1508.431519,1897.0979
2014-07,1816.731567,1817.853027,1889.929321,1507.270752,1519.655396,1467.615845,1466.431885,1467.436646,1470.64624,1469.512939,1504.135986,1509.516602,1633.720947,1636.655273,1558.747192,1554.446167,1479.509521,1474.735962,1477.750244,1478.268311,1479.114258,1472.220337,1475.24585,1879.944092,1870.51416,1869.310791,1851.023315,1508.015137,1896.112915
2014-08,1817.178223,1818.544434,1889.245972,1506.955811,1519.087891,1467.333984,1466.05188,1467.349121,1470.363159,1469.392456,1504.450073,1509.447388,1633.77002,1637.961304,1560.017822,1555.696167,1478.715698,1474.195557,1477.661255,1477.928467,1479.482178,1472.644043,1474.479126,1879.126587,1869.743896,1868.583618,1851.064209,1507.749878,1895.190796
2014-09,1817.479004,1819.068726,1888.371948,1506.613281,1518.577393,1466.997559,1465.718994,1467.018311,1470.055176,1469.159668,1504.688232,1509.3396,1633.80249,1638.953369,1561.170654,1556.834473,1477.903931,1473.724121,1477.521362,1477.572998,1479.726318,1472.929321,1473.939453,1878.278687,1869.025757,1867.877075,1851.011597,1507.467285,1894.178345
2014-10,1815.026123,1816.526978,1887.46228,1506.284058,1518.161621,1466.700195,1465.224121,1464.35791,1469.756958,1467.908813,1503.514648,1509.012695,1633.195557,1635.160156,1558.111328,1553.771851,1477.73877,1472.976807,1476.503662,1476.567383,1477.873657,1470.928101,1473.422729,1877.675903,1868.562744,1867.379517,1849.957397,1507.138672,1893.195313
2014-11,1813.339722,1814.673096,1886.856323,1505.991333,1517.78772,1466.520142,1464.820435,1462.883301,1469.517334,1466.811279,1502.41333,1508.719238,1632.542725,1632.997559,1555.937988,1551.598633,1477.118042,1472.243164,1475.331543,1475.52832,1476.523682,1469.518921,1472.838745,1877.266113,1868.193726,1866.990967,1848.981934,1506.830078,1892.395264
2014-12,1812.671875,1813.937256,1886.713257,1505.749512,1517.490479,1466.521118,1464.546387,1462.597168,1469.36792,1466.239014,1501.948486,1508.563721,1632.132813,1632.655029,1555.158447,1550.81543,1476.845093,1471.75415,1474.490723,1474.824829,1475.935425,1468.947388,1472.457642,1877.256226,1868.231323,1867.023804,1848.835205,1506.650146,1891.896118
